id	set	colony	trophobiont	host	time(minutes)	status	sequence
1	set1	L	larvae	Lasius_flavus	6	1	1
2	set1	L	larvae	Lasius_flavus	6	1	1
3	set1	L	larvae	Lasius_flavus	8	1	1
4	set1	L	larvae	Lasius_flavus	8	1	1
5	set1	L	larvae	Lasius_flavus	30	0	1
6	set1	L	Aploneura_lentisci	Lasius_flavus	4	1	1
7	set1	L	Aploneura_lentisci	Lasius_flavus	30	0	1
8	set1	L	Aploneura_lentisci	Lasius_flavus	30	0	1
9	set1	L	Aploneura_lentisci	Lasius_flavus	30	0	1
10	set1	L	Aploneura_lentisci	Lasius_flavus	30	0	1
11	set1	L	Tetraneura_ulmi	Lasius_flavus	6	1	1
12	set1	L	Tetraneura_ulmi	Lasius_flavus	10	1	1
13	set1	L	Tetraneura_ulmi	Lasius_flavus	12	1	1
14	set1	L	Tetraneura_ulmi	Lasius_flavus	20	1	1
15	set1	L	Tetraneura_ulmi	Lasius_flavus	30	0	1
16	set1	L	Geoica_utricularia	Lasius_flavus	4	1	1
17	set1	L	Geoica_utricularia	Lasius_flavus	4	1	1
18	set1	L	Geoica_utricularia	Lasius_flavus	6	1	1
19	set1	L	Geoica_utricularia	Lasius_flavus	10	1	1
20	set1	L	Geoica_utricularia	Lasius_flavus	10	1	1
21	set1	L	Geoica_setulosa	Lasius_flavus	8	1	1
22	set1	L	Geoica_setulosa	Lasius_flavus	30	0	1
23	set1	L	Geoica_setulosa	Lasius_flavus	30	0	1
24	set1	L	Geoica_setulosa	Lasius_flavus	30	0	1
25	set1	L	Geoica_setulosa	Lasius_flavus	30	0	1
26	set1	L	Forda_formicaria	Lasius_flavus	4	1	1
27	set1	L	Forda_formicaria	Lasius_flavus	6	1	1
28	set1	L	Forda_formicaria	Lasius_flavus	6	1	1
29	set1	L	Forda_formicaria	Lasius_flavus	8	1	1
30	set1	L	Forda_formicaria	Lasius_flavus	10	1	1
31	set1	L	Trama_rara	Lasius_flavus	2	1	1
32	set1	L	Trama_rara	Lasius_flavus	4	1	1
33	set1	L	Trama_rara	Lasius_flavus	6	1	1
34	set1	L	Trama_rara	Lasius_flavus	12	1	1
35	set1	L	Trama_rara	Lasius_flavus	22	1	1
1	set2	L	larvae	Lasius_flavus	4	1	2
2	set2	L	larvae	Lasius_flavus	4	1	2
3	set2	L	larvae	Lasius_flavus	4	1	2
4	set2	L	larvae	Lasius_flavus	6	1	2
5	set2	L	larvae	Lasius_flavus	22	1	2
6	set2	L	Aploneura_lentisci	Lasius_flavus	30	0	2
7	set2	L	Aploneura_lentisci	Lasius_flavus	30	0	2
8	set2	L	Aploneura_lentisci	Lasius_flavus	30	0	2
9	set2	L	Aploneura_lentisci	Lasius_flavus	30	0	2
10	set2	L	Aploneura_lentisci	Lasius_flavus	30	0	2
11	set2	L	Tetraneura_ulmi	Lasius_flavus	6	1	2
12	set2	L	Tetraneura_ulmi	Lasius_flavus	8	1	2
13	set2	L	Tetraneura_ulmi	Lasius_flavus	12	1	2
14	set2	L	Tetraneura_ulmi	Lasius_flavus	14	1	2
15	set2	L	Tetraneura_ulmi	Lasius_flavus	16	1	2
16	set2	L	Geoica_utricularia	Lasius_flavus	2	1	2
17	set2	L	Geoica_utricularia	Lasius_flavus	4	1	2
18	set2	L	Geoica_utricularia	Lasius_flavus	4	1	2
19	set2	L	Geoica_utricularia	Lasius_flavus	6	1	2
20	set2	L	Geoica_utricularia	Lasius_flavus	14	1	2
21	set2	L	Geoica_setulosa	Lasius_flavus	6	1	2
22	set2	L	Geoica_setulosa	Lasius_flavus	10	1	2
23	set2	L	Geoica_setulosa	Lasius_flavus	12	1	2
24	set2	L	Geoica_setulosa	Lasius_flavus	20	1	2
25	set2	L	Geoica_setulosa	Lasius_flavus	24	1	2
26	set2	L	Forda_formicaria	Lasius_flavus	2	1	2
27	set2	L	Forda_formicaria	Lasius_flavus	4	1	2
