colony	species	type	Antennation	Inspecting	Ignoring	Biting	Opening_mandibles	Bending_abdomen	Carrying	Interactions
D	Geoica_setulosa	associated	1	2	0	0	0	0	1	4
D	Geoica_setulosa	associated	0	0	0	0	0	0	1	1
D	Geoica_setulosa	associated	0	0	0	0	0	0	1	1
D	Geoica_setulosa	associated	1	0	0	0	0	0	1	2
D	Geoica_setulosa	associated	0	0	0	0	0	0	1	1
D	Geoica_setulosa	associated	1	0	0	0	0	0	1	2
D	Geoica_setulosa	associated	8	1	1	0	0	0	0	10
D	Geoica_setulosa	associated	3	0	1	0	0	0	1	5
D	Geoica_setulosa	associated	0	0	4	0	0	0	1	5
D	Geoica_setulosa	associated	2	2	6	0	0	0	0	10
D	Geoica_setulosa	associated	5	2	3	0	0	0	0	10
D	Geoica_setulosa	associated	3	0	0	0	0	0	1	4
D	Forda_formicaria	associated	2	0	0	0	0	0	1	3
D	Forda_formicaria	associated	9	1	0	0	0	0	0	10
D	Forda_formicaria	associated	2	0	0	0	0	0	1	3
D	Forda_formicaria	associated	6	1	3	0	0	0	0	10
D	Forda_formicaria	associated	1	0	0	0	0	0	1	2
D	Forda_formicaria	associated	0	0	0	0	0	0	1	1
D	Forda_formicaria	associated	0	0	0	0	0	0	1	1
D	Forda_formicaria	associated	0	0	0	0	0	0	1	1
D	Forda_formicaria	associated	3	0	0	0	0	0	1	4
D	Forda_formicaria	associated	1	0	1	0	0	0	1	3
D	Forda_formicaria	associated	7	0	0	0	0	0	1	8
D	Forda_formicaria	associated	5	0	1	0	0	0	1	7
D	Forda_formicaria	associated	2	0	0	0	0	0	1	3
D	Aploneura_lentisci	associated	4	4	2	0	0	0	0	10
D	Aploneura_lentisci	associated	0	0	1	0	0	0	1	2
D	Aploneura_lentisci	associated	0	3	1	0	0	0	1	5
D	Aploneura_lentisci	associated	2	0	8	0	0	0	0	10
D	Aploneura_lentisci	associated	2	0	8	0	0	0	0	10
D	Aploneura_lentisci	associated	0	0	10	0	0	0	0	10
D	Aploneura_lentisci	associated	0	0	0	0	0	0	1	1
D	Aploneura_lentisci	associated	1	3	6	0	0	0	0	10
D	Aploneura_lentisci	associated	1	0	9	0	0	0	0	10
D	Aploneura_lentisci	associated	7	1	2	0	0	0	0	10
D	Aploneura_lentisci	associated	1	1	8	0	0	0	0	10
D	Aploneura_lentisci	associated	1	0	9	0	0	0	0	10
D	Tetraneura_ulmi	associated	5	1	1	0	0	0	1	8
D	Tetraneura_ulmi	associated	4	0	0	0	0	0	1	5
D	Tetraneura_ulmi	associated	1	0	0	0	0	0	1	2
D	Tetraneura_ulmi	associated	3	0	1	0	0	0	1	5
D	Tetraneura_ulmi	associated	0	0	1	0	0	0	1	2
D	Tetraneura_ulmi	associated	3	1	4	0	0	0	1	9
D	Tetraneura_ulmi	associated	3	0	0	0	0	0	1	4
D	Tetraneura_ulmi	associated	3	0	0	0	0	0	1	4
D	Tetraneura_ulmi	associated	3	0	1	0	0	0	1	5
D	Tetraneura_ulmi	associated	0	0	0	0	0	0	1	1
D	Tetraneura_ulmi	associated	2	0	1	0	0	0	1	4
D	Tetraneura_ulmi	associated	1	1	1	0	0	0	1	4
D	larva	associated	0	0	0	0	0	0	1	1
D	larva	associated	1	0	0	0	0	0	1	2
D	larva	associated	0	0	0	0	0	0	1	1
D	larva	associated	1	0	0	0	0	0	1	2
D	larva	associated	0	0	0	0	0	0	1	1
D	larva	associated	0	0	0	0	0	0	1	1
D	larva	associated	0	0	0	0	0	0	1	1
D	larva	associated	0	0	0	0	0	0	1	1
D	larva	associated	0	0	6	0	0	0	1	7
D	larva	associated	0	0	0	0	0	0	1	1
D	larva	associated	0	0	1	0	0	0	1	2
D	larva	associated	0	0	0	0	0	0	1	1
D	Geoica_utricularia	associated	0	0	0	0	0	0	1	1
D	Geoica_utricularia	associated	1	0	0	0	0	0	1	2
D	Geoica_utricularia	associated	0	1	0	0	0	0	1	2
D	Geoica_utricularia	associated	7	0	3	0	0	0	0	10
D	Geoica_utricularia	associated	0	0	0	0	0	0	1	1
